Jesse Drake Korenia Football 2
Korenia,North,South,,,,,,,,,,,
Belle Island,East,West,,,,,,,,,,,
Missoula,West,East,,,,,,,,,,,
Kota,East,West,,,,,,,,,,,
Amateras,North,South,,,,,,,,,,,
Trimea,North,South,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# Korenia,,,,,,,,,,,,,
TEAM,Korenia,North,Fred Hampton,FRED,95,SPLN,,,,,,,
TEAM,Korenia,North,Al Masjid,AMHS,85,KBCH,,,,,,,
TEAM,Korenia,North,Rivernorth,RVR,85,KORC,,,,,,,
TEAM,Korenia,North,East Korenia,EKOR,85,KPRP,,,,,,,
TEAM,Korenia,North,Emanuel,EMAN,75,ART,,,,,,,
TEAM,Korenia,North,Sub South Jerusallem,SJ,82,STRW,,,,,,,
TEAM,Korenia,North,Sub Jerusallem,JER,90,DEB,,,,,,,
TEAM,Korenia,South,Southplains,SPLN,91,FRED,,,,,,,
TEAM,Korenia,South,Korenia Beach,KBCH,85,AMHS,,,,,,,
TEAM,Korenia,South,Korenia Central,KORC,83,RVR,,,,,,,
TEAM,Korenia,South,Korenia Prep,KPRP,80,EKOR,,,,,,,
TEAM,Korenia,South,Arthur High,ART,72,EMAN,,,,,,,
TEAM,Korenia,South,Sub Stranow,STRW,70,SJ,,,,,,,
TEAM,Korenia,South,Sub Debsian,DEB,66,JER,,,,,,,
# Belle Island,,,,,,,,,,,,,
TEAM,Belle Island,East,Historic District,HIST,95,SS,,,,,,,
TEAM,Belle Island,East,Taj Laham,TLM,90,CHA,,,,,,,
TEAM,Belle Island,East,Uptown,UPT,80,RCKF,,,,,,,
TEAM,Belle Island,East,Maple Park,MPL,80,FRST,,,,,,,
TEAM,Belle Island,East,Greentown,GRE,75,CRS,,,,,,,
TEAM,Belle Island,East,Upper Colony,UPC,55,ACRP,,,,,,,
TEAM,Belle Island,East,Circle River,CR,80,NS,,,,,,,
TEAM,Belle Island,West,South Square,SS,70,HIST,,,,,,,
TEAM,Belle Island,West,Chalet,CHA,80,TLM,,,,,,,
TEAM,Belle Island,West,Rockefeller,RCKF,70,UPT,,,,,,,
TEAM,Belle Island,West,Firestone,FRST,60,MPL,,,,,,,
TEAM,Belle Island,West,Crescent,CRS,90,GRE,,,,,,,
TEAM,Belle Island,West,Acropolis,ACRP,85,UPC,,,,,,,
TEAM,Belle Island,West,North Sandy,NS,80,CR,,,,,,,
# Missoula,,,,,,,,,,,,,
TEAM,Missoula,West,Downtown,DTN,90,ARCG,,,,,,,
TEAM,Missoula,West,Ferris Park,FER,85,ES,,,,,,,
TEAM,Missoula,West,Middletown,MID,80,SEAT,,,,,,,
TEAM,Missoula,West,Terchian,TER,75,BIO,,,,,,,
TEAM,Missoula,West,Triumphe,TRM,70,AML,,,,,,,
TEAM,Missoula,West,Mount Granite,MG,65,DS,,,,,,,
TEAM,Missoula,West,Sub Missoula Beach,MBE,85,COLP,,,,,,,
TEAM,Missoula,East,Arcologe,ARCG,60,DTN,,,,,,,
TEAM,Missoula,East,East Side,ES,95,FER,,,,,,,
TEAM,Missoula,East,Seattle,SEAT,90,MID,,,,,,,
TEAM,Missoula,East,Biome,BIO,85,TER,,,,,,,
TEAM,Missoula,East,Amelia,AML,85,TRM,,,,,,,
TEAM,Missoula,East,DeSalle,DS,75,MG,,,,,,,
TEAM,Missoula,East,Colonel Park,COLP,85,MBE,,,,,,,
# Kota,,,,,,,,,,,,,
TEAM,Kota,East,Kota Prep,KP,90,FR,,,,,,,
TEAM,Kota,East,Medan,MED,80,MT,,,,,,,
TEAM,Kota,East,Cylinda,CYL,80,JL,,,,,,,
TEAM,Kota,East,Sydney,SYD,75,EK,,,,,,,
TEAM,Kota,East,Southtown,STTN,70,EP,,,,,,,
TEAM,Kota,East,Palm Springs,PS,60,SH,,,,,,,
TEAM,Kota,East,Leech,LEE,60,PRNG,,,,,,,
TEAM,Kota,West,Freshner,FR,50,KP,,,,,,,
TEAM,Kota,West,Mineraltown,MT,95,MED,,,,,,,
TEAM,Kota,West,Jat Lehman,JL,85,CYL,,,,,,,
TEAM,Kota,West,East Kota,EK,80,SYD,,,,,,,
TEAM,Kota,West,Edison Park,EP,80,STTN,,,,,,,
TEAM,Kota,West,South Habor,SH,70,PS,,,,,,,
TEAM,Kota,West,Pringle,PRNG,60,LEE,,,,,,,
# Amateras,,,,,,,,,,,,,
TEAM,Amateras,North,White Mountain,WHI,90,NWE,,,,,,,
TEAM,Amateras,North,Near Central,NC,90,GT,,,,,,,
TEAM,Amateras,North,Minen,MIN,85,LC,,,,,,,
TEAM,Amateras,North,Faisal,FAI,85,EIF,,,,,,,
TEAM,Amateras,North,Low Manor,LOW,75,WHT,,,,,,,
TEAM,Amateras,North,Habai,HAB,70,BRG,,,,,,,
TEAM,Amateras,North,Sub Ama Mountains,AMA,70,LID,,,,,,,
TEAM,Amateras,South,Near West,NWE,60,WHI,,,,,,,
TEAM,Amateras,South,Gast Tower,GT,90,NC,,,,,,,
TEAM,Amateras,South,Little China,LC,85,MIN,,,,,,,
TEAM,Amateras,South,Eiffel,EIF,75,FAI,,,,,,,
TEAM,Amateras,South,Whitetown,WHT,75,LOW,,,,,,,
TEAM,Amateras,South,Bridge,BRG,75,HAB,,,,,,,
TEAM,Amateras,South,Sub Liddle,LID,70,AMA,,,,,,,
# Trimea,,,,,,,,,,,,,
TEAM,Trimea,North,House Lawn,HSL,90,BLO,,,,,,,
TEAM,Trimea,North,Cropt,CRO,90,MAK,,,,,,,
TEAM,Trimea,North,Stables Park,SP,85,WINT,,,,,,,
TEAM,Trimea,North,Southwest Trimea,SWT,85,CRI,,,,,,,
TEAM,Trimea,North,North Old Town,NOT,75,MARI,,,,,,,
TEAM,Trimea,North,Sub Hendrix Soneman,SON,90,HC,,,,,,,
TEAM,Trimea,North,Sub Mount Hendrix,MTHX,90,WL,,,,,,,
TEAM,Trimea,South,Block,BLO,70,HSL,,,,,,,
TEAM,Trimea,South,Makret,MAK,60,CRO,,,,,,,
TEAM,Trimea,South,Winterville,WINT,90,SP,,,,,,,
TEAM,Trimea,South,Cold River,CRI,85,SWT,,,,,,,
TEAM,Trimea,South,Marina,MARI,75,NOT,,,,,,,
TEAM,Trimea,South,Sub Hendrix City,HC,70,SON,,,,,,,
TEAM,Hendrix,South,Sub Wheel Lake,WL,64,MTHX,,,,,,,
# Coach format:,Team,Name,Age,Offense,Defense,Recruiting,Training,Off Scheme,Def Scheme,,,,
# COACH,FRED,Nick Saban,65,90,90,90,90,Pro Style,Conservative,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# OC,FRED,Mike Locksley,55,90,QB,Deep Pass,,,,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# DC,FRED,Kirby Smart,55,95,LB,Inside Run,,,,,,,
# Player format:,Team,Position,Name,Year (String),Height,Weight,Stars,,,,,,
# PLAYER,FRED,QB,Tua Tagovailoa,So,72,200,5,,,,,,
# OR:,Team,Position,Name,Year (String),Height,Weight,Potential,Football IQ,Durability,Attribute1,Attribute2,Attribute3,Attribute4
PLAYER,FRED,QB,Jalen Hurts,Jr,72,200,75,90,100,75,85,95,95
END_FILE,,,,,,,,,,,,,
